"","Date","Open","High","Low","Close","Volume"
"33",2016-11-03 15:00:00,64256,64257,64178,64233,105764
"34",2016-11-03 16:00:00,64233,64282,64184,64187,110941
"35",2016-11-03 17:00:00,64189,64425,64186,64412,223116
"36",2016-11-03 18:00:00,64409,64438,64247,64352,187169
"37",2016-11-03 19:00:00,64356,64384,64259,64304,93270
"38",2016-11-03 20:00:00,64314,64449,64288,64396,106117
"39",2016-11-03 21:00:00,64398,64413,64281,64349,73420
"40",2016-11-03 22:00:00,64347,64368,64272,64303,36928
"41",2016-11-03 23:00:00,64302,64316,64234,64278,45402
"42",2016-11-04 00:00:00,64280,64300,64153,64195,54636
"43",2016-11-07 11:00:00,64209,64811,64209,64527,368245
"44",2016-11-07 12:00:00,64527,64567,64504,64544,124187
"45",2016-11-07 13:00:00,64546,64570,64371,64382,202898
"46",2016-11-07 14:00:00,64384,64466,64383,64454,121915
"47",2016-11-07 15:00:00,64455,64500,64430,64477,73988
"48",2016-11-07 16:00:00,64477,64484,64389,64395,105068
"49",2016-11-07 17:00:00,64394,64400,64261,64275,241883
"50",2016-11-07 18:00:00,64277,64408,64254,64398,219242
"51",2016-11-07 19:00:00,64397,64412,64284,64384,132691
"52",2016-11-07 20:00:00,64385,64496,64365,64387,109921
"53",2016-11-07 21:00:00,64388,64431,64350,64353,55734
"54",2016-11-07 22:00:00,64353,64384,64166,64194,98706
"55",2016-11-07 23:00:00,64195,64245,64126,64154,87296
"56",2016-11-08 00:00:00,64157,64229,64146,64214,33524
"57",2016-11-08 11:00:00,64230,64343,64187,64310,188276
"58",2016-11-08 12:00:00,64309,64384,64266,64308,229663
"59",2016-11-08 13:00:00,64309,64328,64272,64308,105435
"60",2016-11-08 14:00:00,64309,64392,64285,64390,135813
"61",2016-11-08 15:00:00,64390,64418,64363,64390,126658
"62",2016-11-08 16:00:00,64390,64429,64369,64395,117651
"63",2016-11-08 17:00:00,64395,64403,64303,64334,113768
"64",2016-11-08 18:00:00,64333,64412,64307,64412,159600
"65",2016-11-08 19:00:00,64412,64425,64328,64368,94444
"66",2016-11-08 20:00:00,64341,64360,64219,64226,116226
"67",2016-11-08 21:00:00,64227,64255,64210,64217,65285
"68",2016-11-08 22:00:00,64215,64290,64202,64276,46099
"69",2016-11-08 23:00:00,64275,64348,64272,64332,44465
"70",2016-11-09 00:00:00,64334,64344,64292,64327,34398
"71",2016-11-09 11:00:00,64341,64740,64303,64359,575747
"72",2016-11-09 12:00:00,64361,64475,64269,64371,364301
"73",2016-11-09 13:00:00,64370,64480,64355,64381,228619
"74",2016-11-09 14:00:00,64381,64410,63900,63905,535413
"75",2016-11-09 15:00:00,63902,63977,63761,63926,820538
"76",2016-11-09 16:00:00,63926,64101,63825,63836,273033
"77",2016-11-09 17:00:00,63836,64188,63750,64096,414821
"78",2016-11-09 18:00:00,64099,64422,64095,64343,448754
"79",2016-11-09 19:00:00,64345,64630,64330,64599,392737
"80",2016-11-09 20:00:00,64600,64695,64156,64215,350239
"81",2016-11-09 21:00:00,64214,64420,64166,64359,126767
"82",2016-11-09 22:00:00,64359,64409,64330,64370,63900
"83",2016-11-09 23:00:00,64367,64446,64350,64433,48125
"84",2016-11-10 00:00:00,64433,64450,64380,64450,32630
"85",2016-11-10 11:00:00,64430,64430,63822,63840,689385
"86",2016-11-10 12:00:00,63840,63914,63764,63886,265848
"87",2016-11-10 13:00:00,63887,63985,63879,63956,156422
"88",2016-11-10 14:00:00,63957,64050,63903,63973,190415
"89",2016-11-10 15:00:00,63974,64250,63974,64180,257766
"90",2016-11-10 16:00:00,64179,64456,64175,64424,362953
"91",2016-11-10 17:00:00,64425,64475,64353,64382,208557
"92",2016-11-10 18:00:00,64384,65298,64384,65247,1055309
"93",2016-11-10 19:00:00,65246,65497,65143,65323,629579
"94",2016-11-10 20:00:00,65350,65866,65350,65763,456966
"95",2016-11-10 21:00:00,65763,65784,65592,65655,176294
"96",2016-11-10 22:00:00,65656,65967,65642,65867,202988
"97",2016-11-10 23:00:00,65869,65888,65795,65858,88255
"98",2016-11-11 00:00:00,65858,66064,65856,66004,119757
"99",2016-11-11 11:00:00,65981,65981,65402,65729,642611
"100",2016-11-11 12:00:00,65729,66500,65674,66152,778717
"101",2016-11-11 13:00:00,66152,66273,66001,66029,374594
"102",2016-11-11 14:00:00,66030,66426,65900,66304,443574
"103",2016-11-11 15:00:00,66304,66491,66229,66255,291887
"104",2016-11-11 16:00:00,66257,66388,66058,66097,265144
"105",2016-11-11 17:00:00,66094,66439,65867,66360,474555
"106",2016-11-11 18:00:00,66361,66570,66237,66515,396832
"107",2016-11-11 19:00:00,66514,66566,66403,66485,304911
"108",2016-11-11 20:00:00,66508,66817,66433,66513,327800
"109",2016-11-11 21:00:00,66513,66542,66237,66263,184768
"110",2016-11-11 22:00:00,66262,66331,66147,66264,107824
"111",2016-11-11 23:00:00,66265,66352,66175,66334,73963
"112",2016-11-12 00:00:00,66338,66338,66235,66235,50602
"113",2016-11-14 11:00:00,66235,66483,66184,66336,372629
"114",2016-11-14 12:00:00,66335,66841,66296,66833,393548
"115",2016-11-14 13:00:00,66832,66914,66594,66679,331432
"116",2016-11-14 14:00:00,66679,66739,66517,66688,313209
"117",2016-11-14 15:00:00,66688,66979,66688,66856,293269
"118",2016-11-14 16:00:00,66855,66885,66642,66858,247401
"119",2016-11-14 17:00:00,66860,66986,66667,66671,258018
"120",2016-11-14 18:00:00,66673,66838,66578,66793,367398
"121",2016-11-14 19:00:00,66791,66821,66644,66767,152634
"122",2016-11-14 20:00:00,66780,66960,66780,66848,169391
"123",2016-11-14 21:00:00,66844,66889,66762,66780,72088
"124",2016-11-14 22:00:00,66778,66825,66530,66578,144181
"125",2016-11-14 23:00:00,66577,66695,66562,66569,99937
"126",2016-11-15 00:00:00,66573,66593,66482,66498,49459
"127",2016-11-15 11:00:00,66490,66490,65917,65983,538346
"128",2016-11-15 12:00:00,65983,66015,65765,65915,348358
"129",2016-11-15 13:00:00,65914,65948,65858,65910,161128
"130",2016-11-15 14:00:00,65910,65968,65701,65811,241544
"131",2016-11-15 15:00:00,65811,65929,65600,65602,271983
"132",2016-11-15 16:00:00,65600,65808,65590,65671,316640
"133",2016-11-15 17:00:00,65671,65803,65644,65757,230977
"134",2016-11-15 18:00:00,65756,65816,65352,65365,520249
"135",2016-11-15 19:00:00,65362,65386,65015,65220,513370
"136",2016-11-15 20:00:00,65211,65232,65004,65025,191037
"137",2016-11-15 21:00:00,65027,65137,64951,64988,145378
"138",2016-11-15 22:00:00,64987,65048,64961,65027,67397
"139",2016-11-15 23:00:00,65028,65072,64700,64785,190928
"140",2016-11-16 00:00:00,64782,64796,64618,64653,97584
"141",2016-11-16 11:00:00,64618,65120,64452,65069,634025
"142",2016-11-16 12:00:00,65068,65569,65005,65466,625950
"143",2016-11-16 13:00:00,65466,65980,65460,65828,742616
"144",2016-11-16 14:00:00,65827,65889,65724,65776,266787
"145",2016-11-16 15:00:00,65779,66022,65779,65919,253745
"146",2016-11-16 16:00:00,65919,65938,65520,65543,298483
"147",2016-11-16 17:00:00,65543,65585,65163,65284,532474
"148",2016-11-16 18:00:00,65283,65532,65281,65391,332148
"149",2016-11-16 19:00:00,65396,65469,64823,64916,463952
"150",2016-11-16 20:00:00,64947,65325,64940,65093,292896
"151",2016-11-16 21:00:00,65093,65110,64875,64953,132721
"152",2016-11-16 22:00:00,64952,65092,64943,64996,70617
"153",2016-11-16 23:00:00,64995,65251,64986,65227,85227
"154",2016-11-17 00:00:00,65226,65234,65119,65215,49466
"155",2016-11-17 11:00:00,65192,65528,65136,65385,395792
"156",2016-11-17 12:00:00,65386,65386,65045,65103,375870
"157",2016-11-17 13:00:00,65101,65191,65070,65160,142970
"158",2016-11-17 14:00:00,65163,65174,64958,65037,189292
"159",2016-11-17 15:00:00,65037,65037,64712,64844,312541
"160",2016-11-17 16:00:00,64845,64950,64746,64941,184135
"161",2016-11-17 17:00:00,64946,65359,64943,65117,453114
"162",2016-11-17 18:00:00,65118,65141,64702,64804,409782
"163",2016-11-17 19:00:00,64803,65049,64751,64974,274835
"164",2016-11-17 20:00:00,64969,65007,64785,64886,168508
"165",2016-11-17 21:00:00,64885,65163,64775,65069,124302
"166",2016-11-17 22:00:00,65067,65150,64922,65144,108406
"167",2016-11-17 23:00:00,65145,65260,65077,65240,133686
"168",2016-11-18 00:00:00,65240,65275,65199,65267,68095
"169",2016-11-18 11:00:00,65268,65619,65262,65407,665455
"170",2016-11-18 12:00:00,65408,65699,65407,65483,408949
"171",2016-11-18 13:00:00,65483,65561,65361,65543,270362
"172",2016-11-18 14:00:00,65543,65588,65402,65458,244055
"173",2016-11-18 15:00:00,65458,65458,65181,65220,196020
"174",2016-11-18 16:00:00,65223,65238,64980,64996,347952
"175",2016-11-18 17:00:00,64996,65192,64966,65153,245980
"176",2016-11-18 18:00:00,65153,65158,64850,64995,263914
"177",2016-11-18 19:00:00,64989,65195,64960,65171,219760
"178",2016-11-18 20:00:00,65197,65295,65000,65029,169707
"179",2016-11-18 21:00:00,65030,65080,65003,65008,63251
"180",2016-11-18 22:00:00,65008,65119,65000,65046,54416
"181",2016-11-18 23:00:00,65047,65050,64953,65022,37830
"182",2016-11-19 00:00:00,65023,65068,65013,65050,21996
"183",2016-11-21 11:00:00,65047,65047,64638,64705,416337
"184",2016-11-21 12:00:00,64708,64725,64473,64477,302980
"185",2016-11-21 13:00:00,64475,64695,64449,64602,220244
"186",2016-11-21 14:00:00,64600,64659,64555,64623,134374
"187",2016-11-21 15:00:00,64632,64702,64467,64530,190747
"188",2016-11-21 16:00:00,64529,64607,64496,64524,126479
"189",2016-11-21 17:00:00,64525,64535,64323,64411,263315
"190",2016-11-21 18:00:00,64412,64424,64267,64370,276288
"191",2016-11-21 19:00:00,64367,64437,64284,64293,123734
"192",2016-11-21 20:00:00,64291,64423,64219,64356,124518
"193",2016-11-21 21:00:00,64358,64390,64253,64300,59113
"194",2016-11-21 22:00:00,64298,64350,64250,64280,43978
"195",2016-11-21 23:00:00,64281,64376,64275,64339,44277
"196",2016-11-22 00:00:00,64338,64341,64240,64274,36873
"197",2016-11-22 11:00:00,64244,64244,63859,63911,435017
"198",2016-11-22 12:00:00,63911,64048,63910,63978,216792
"199",2016-11-22 13:00:00,63980,63987,63782,63865,287311
"200",2016-11-22 14:00:00,63865,64023,63857,64017,173737
"201",2016-11-22 15:00:00,64014,64342,63985,64304,358070
"202",2016-11-22 16:00:00,64306,64457,64215,64308,352084
"203",2016-11-22 17:00:00,64307,64400,64179,64264,321861
"204",2016-11-22 18:00:00,64263,64265,64063,64098,231149
"205",2016-11-22 19:00:00,64099,64389,63985,64363,315188
"206",2016-11-22 20:00:00,64340,64416,64280,64355,225991
"207",2016-11-22 21:00:00,64355,64361,64189,64244,116747
"208",2016-11-22 22:00:00,64247,64276,64188,64214,38949
"209",2016-11-22 23:00:00,64214,64218,64034,64116,112078
"210",2016-11-23 00:00:00,64115,64190,64078,64078,40013
"211",2016-11-23 11:00:00,64099,64393,64000,64385,417610
"212",2016-11-23 12:00:00,64385,64587,64380,64544,327298
"213",2016-11-23 13:00:00,64541,64579,64479,64556,195995
"214",2016-11-23 14:00:00,64557,64700,64547,64652,294490
"215",2016-11-23 15:00:00,64651,64796,64624,64774,233754
"216",2016-11-23 16:00:00,64771,64817,64533,64542,348342
"217",2016-11-23 17:00:00,64542,64919,64515,64859,431221
"218",2016-11-23 18:00:00,64858,65263,64813,65217,626372
"219",2016-11-23 19:00:00,65215,65260,64825,64851,484803
"220",2016-11-23 20:00:00,64897,65060,64854,64876,317605
"221",2016-11-23 21:00:00,64877,64878,64677,64705,124994
"222",2016-11-23 22:00:00,64704,64840,64665,64740,78617
"223",2016-11-23 23:00:00,64738,64808,64711,64791,53565
"224",2016-11-24 00:00:00,64792,64800,64746,64768,24141
"225",2016-11-24 11:00:00,64759,65114,64700,64903,431400
"226",2016-11-24 12:00:00,64902,64975,64790,64822,227076
"227",2016-11-24 13:00:00,64820,64852,64580,64641,293311
"228",2016-11-24 14:00:00,64641,64755,64605,64686,185775
"229",2016-11-24 15:00:00,64686,64727,64592,64687,200989
"230",2016-11-24 16:00:00,64684,64833,64630,64813,157782
"231",2016-11-24 17:00:00,64812,64934,64661,64749,208550
"232",2016-11-24 18:00:00,64749,64792,64648,64688,131679
"233",2016-11-24 19:00:00,64685,64748,64668,64695,59346
"234",2016-11-24 20:00:00,64692,64817,64667,64803,65496
"235",2016-11-24 21:00:00,64803,64811,64725,64728,21601
"236",2016-11-24 22:00:00,64725,64774,64712,64751,20695
"237",2016-11-24 23:00:00,64751,64780,64744,64774,10585
"238",2016-11-25 00:00:00,64775,64808,64770,64808,17675
