<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-12.16;60;20161108;180000;64.333.0000000;64.412.0000000;64.307.0000000;64.412.0000000;159.600
SPFB.Si-12.16;60;20161108;190000;64.412.0000000;64.425.0000000;64.328.0000000;64.368.0000000;94.444
SPFB.Si-12.16;60;20161108;200000;64.341.0000000;64.360.0000000;64.219.0000000;64.226.0000000;116.226
SPFB.Si-12.16;60;20161108;210000;64.227.0000000;64.255.0000000;64.210.0000000;64.217.0000000;65.285
SPFB.Si-12.16;60;20161108;220000;64.215.0000000;64.290.0000000;64.202.0000000;64.276.0000000;46.099
SPFB.Si-12.16;60;20161108;230000;64.275.0000000;64.348.0000000;64.272.0000000;64.332.0000000;44.465
SPFB.Si-12.16;60;20161109;000000;64.334.0000000;64.344.0000000;64.292.0000000;64.327.0000000;34.398
SPFB.Si-12.16;60;20161109;110000;64.341.0000000;64.740.0000000;64.303.0000000;64.359.0000000;575.747
SPFB.Si-12.16;60;20161109;120000;64.361.0000000;64.475.0000000;64.269.0000000;64.371.0000000;364.301
SPFB.Si-12.16;60;20161109;130000;64.370.0000000;64.480.0000000;64.355.0000000;64.381.0000000;228.619
SPFB.Si-12.16;60;20161109;140000;64.381.0000000;64.410.0000000;63.900.0000000;63.905.0000000;535.413
SPFB.Si-12.16;60;20161109;150000;63.902.0000000;63.977.0000000;63.761.0000000;63.926.0000000;820.538
SPFB.Si-12.16;60;20161109;160000;63.926.0000000;64.101.0000000;63.825.0000000;63.836.0000000;273.033
SPFB.Si-12.16;60;20161109;170000;63.836.0000000;64.188.0000000;63.750.0000000;64.096.0000000;414.821
SPFB.Si-12.16;60;20161109;180000;64.099.0000000;64.422.0000000;64.095.0000000;64.343.0000000;448.754
SPFB.Si-12.16;60;20161109;190000;64.345.0000000;64.630.0000000;64.330.0000000;64.599.0000000;392.737
SPFB.Si-12.16;60;20161109;200000;64.600.0000000;64.695.0000000;64.156.0000000;64.215.0000000;350.239
SPFB.Si-12.16;60;20161109;210000;64.214.0000000;64.420.0000000;64.166.0000000;64.359.0000000;126.767
SPFB.Si-12.16;60;20161109;220000;64.359.0000000;64.409.0000000;64.330.0000000;64.370.0000000;63.900
SPFB.Si-12.16;60;20161109;230000;64.367.0000000;64.446.0000000;64.350.0000000;64.433.0000000;48.125
SPFB.Si-12.16;60;20161110;000000;64.433.0000000;64.450.0000000;64.380.0000000;64.450.0000000;32.630
SPFB.Si-12.16;60;20161110;110000;64.430.0000000;64.430.0000000;63.822.0000000;63.840.0000000;689.385
SPFB.Si-12.16;60;20161110;120000;63.840.0000000;63.914.0000000;63.764.0000000;63.886.0000000;265.848
SPFB.Si-12.16;60;20161110;130000;63.887.0000000;63.985.0000000;63.879.0000000;63.956.0000000;156.422
SPFB.Si-12.16;60;20161110;140000;63.957.0000000;64.050.0000000;63.903.0000000;63.973.0000000;190.415
SPFB.Si-12.16;60;20161110;150000;63.974.0000000;64.250.0000000;63.974.0000000;64.180.0000000;257.766
SPFB.Si-12.16;60;20161110;160000;64.179.0000000;64.456.0000000;64.175.0000000;64.424.0000000;362.953
SPFB.Si-12.16;60;20161110;170000;64.425.0000000;64.475.0000000;64.353.0000000;64.382.0000000;208.557
SPFB.Si-12.16;60;20161110;180000;64.384.0000000;65.298.0000000;64.384.0000000;65.247.0000000;1.055.309
SPFB.Si-12.16;60;20161110;190000;65.246.0000000;65.497.0000000;65.143.0000000;65.323.0000000;629.579
SPFB.Si-12.16;60;20161110;200000;65.350.0000000;65.866.0000000;65.350.0000000;65.763.0000000;456.966
SPFB.Si-12.16;60;20161110;210000;65.763.0000000;65.784.0000000;65.592.0000000;65.655.0000000;176.294
SPFB.Si-12.16;60;20161110;220000;65.656.0000000;65.967.0000000;65.642.0000000;65.867.0000000;202.988
SPFB.Si-12.16;60;20161110;230000;65.869.0000000;65.888.0000000;65.795.0000000;65.858.0000000;88.255
SPFB.Si-12.16;60;20161111;000000;65.858.0000000;66.064.0000000;65.856.0000000;66.004.0000000;119.757
SPFB.Si-12.16;60;20161111;110000;65.981.0000000;65.981.0000000;65.402.0000000;65.729.0000000;642.611
SPFB.Si-12.16;60;20161111;120000;65.729.0000000;66.500.0000000;65.674.0000000;66.152.0000000;778.717
SPFB.Si-12.16;60;20161111;130000;66.152.0000000;66.273.0000000;66.001.0000000;66.029.0000000;374.594
SPFB.Si-12.16;60;20161111;140000;66.030.0000000;66.426.0000000;65.900.0000000;66.304.0000000;443.574
SPFB.Si-12.16;60;20161111;150000;66.304.0000000;66.491.0000000;66.229.0000000;66.255.0000000;291.887
SPFB.Si-12.16;60;20161111;160000;66.257.0000000;66.388.0000000;66.058.0000000;66.097.0000000;265.144
SPFB.Si-12.16;60;20161111;170000;66.094.0000000;66.439.0000000;65.867.0000000;66.360.0000000;474.555
SPFB.Si-12.16;60;20161111;180000;66.361.0000000;66.570.0000000;66.237.0000000;66.515.0000000;396.832
SPFB.Si-12.16;60;20161111;190000;66.514.0000000;66.566.0000000;66.403.0000000;66.485.0000000;304.911
SPFB.Si-12.16;60;20161111;200000;66.508.0000000;66.817.0000000;66.433.0000000;66.513.0000000;327.800
SPFB.Si-12.16;60;20161111;210000;66.513.0000000;66.542.0000000;66.237.0000000;66.263.0000000;184.768
SPFB.Si-12.16;60;20161111;220000;66.262.0000000;66.331.0000000;66.147.0000000;66.264.0000000;107.824
SPFB.Si-12.16;60;20161111;230000;66.265.0000000;66.352.0000000;66.175.0000000;66.334.0000000;73.963
SPFB.Si-12.16;60;20161112;000000;66.338.0000000;66.338.0000000;66.235.0000000;66.235.0000000;50.602
