<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-12.16;60;20161125;140000;64.701.0000000;64.814.0000000;64.645.0000000;64.773.0000000;112.377
SPFB.Si-12.16;60;20161125;150000;64.773.0000000;64.930.0000000;64.761.0000000;64.873.0000000;180.249
SPFB.Si-12.16;60;20161125;160000;64.870.0000000;64.907.0000000;64.798.0000000;64.860.0000000;125.360
SPFB.Si-12.16;60;20161125;170000;64.857.0000000;64.970.0000000;64.806.0000000;64.925.0000000;186.981
SPFB.Si-12.16;60;20161125;180000;64.925.0000000;65.024.0000000;64.864.0000000;64.927.0000000;199.724
SPFB.Si-12.16;60;20161125;190000;64.929.0000000;65.212.0000000;64.926.0000000;65.200.0000000;210.781
SPFB.Si-12.16;60;20161125;200000;65.184.0000000;65.206.0000000;65.110.0000000;65.139.0000000;109.434
SPFB.Si-12.16;60;20161125;210000;65.139.0000000;65.194.0000000;65.063.0000000;65.096.0000000;101.816
SPFB.Si-12.16;60;20161125;220000;65.095.0000000;65.249.0000000;65.056.0000000;65.238.0000000;77.979
SPFB.Si-12.16;60;20161125;230000;65.238.0000000;65.243.0000000;65.090.0000000;65.170.0000000;50.981
SPFB.Si-12.16;60;20161126;000000;65.168.0000000;65.224.0000000;65.157.0000000;65.216.0000000;29.757
SPFB.Si-12.16;60;20161128;110000;65.186.0000000;65.229.0000000;64.981.0000000;65.164.0000000;353.952
SPFB.Si-12.16;60;20161128;120000;65.162.0000000;65.436.0000000;65.121.0000000;65.319.0000000;399.234
SPFB.Si-12.16;60;20161128;130000;65.318.0000000;65.339.0000000;65.125.0000000;65.163.0000000;201.885
SPFB.Si-12.16;60;20161128;140000;65.161.0000000;65.288.0000000;65.116.0000000;65.249.0000000;162.776
SPFB.Si-12.16;60;20161128;150000;65.250.0000000;65.469.0000000;65.228.0000000;65.341.0000000;229.489
SPFB.Si-12.16;60;20161128;160000;65.345.0000000;65.363.0000000;65.177.0000000;65.226.0000000;209.602
SPFB.Si-12.16;60;20161128;170000;65.225.0000000;65.307.0000000;65.157.0000000;65.242.0000000;171.888
SPFB.Si-12.16;60;20161128;180000;65.240.0000000;65.240.0000000;64.914.0000000;64.946.0000000;373.687
SPFB.Si-12.16;60;20161128;190000;64.945.0000000;65.050.0000000;64.805.0000000;65.046.0000000;256.298
SPFB.Si-12.16;60;20161128;200000;65.052.0000000;65.131.0000000;64.907.0000000;64.958.0000000;155.440
SPFB.Si-12.16;60;20161128;210000;64.956.0000000;65.095.0000000;64.935.0000000;65.073.0000000;104.042
SPFB.Si-12.16;60;20161128;220000;65.076.0000000;65.094.0000000;64.989.0000000;65.026.0000000;47.990
SPFB.Si-12.16;60;20161128;230000;65.026.0000000;65.135.0000000;64.995.0000000;65.114.0000000;43.268
SPFB.Si-12.16;60;20161129;000000;65.115.0000000;65.155.0000000;65.079.0000000;65.119.0000000;39.665
SPFB.Si-12.16;60;20161129;110000;65.119.0000000;65.245.0000000;65.090.0000000;65.167.0000000;252.683
SPFB.Si-12.16;60;20161129;120000;65.164.0000000;65.255.0000000;65.121.0000000;65.170.0000000;207.137
SPFB.Si-12.16;60;20161129;130000;65.171.0000000;65.296.0000000;65.167.0000000;65.237.0000000;190.323
SPFB.Si-12.16;60;20161129;140000;65.236.0000000;65.332.0000000;65.181.0000000;65.324.0000000;226.637
SPFB.Si-12.16;60;20161129;150000;65.324.0000000;65.339.0000000;65.223.0000000;65.288.0000000;173.323
SPFB.Si-12.16;60;20161129;160000;65.287.0000000;65.555.0000000;65.256.0000000;65.545.0000000;320.080
SPFB.Si-12.16;60;20161129;170000;65.545.0000000;65.730.0000000;65.503.0000000;65.686.0000000;440.388
SPFB.Si-12.16;60;20161129;180000;65.685.0000000;65.709.0000000;65.445.0000000;65.571.0000000;382.368
SPFB.Si-12.16;60;20161129;190000;65.571.0000000;65.668.0000000;65.525.0000000;65.587.0000000;154.128
SPFB.Si-12.16;60;20161129;200000;65.599.0000000;65.747.0000000;65.563.0000000;65.563.0000000;95.004
SPFB.Si-12.16;60;20161129;210000;65.563.0000000;65.612.0000000;65.540.0000000;65.572.0000000;41.015
SPFB.Si-12.16;60;20161129;220000;65.572.0000000;65.583.0000000;65.490.0000000;65.525.0000000;49.813
SPFB.Si-12.16;60;20161129;230000;65.525.0000000;65.529.0000000;65.319.0000000;65.331.0000000;109.646
SPFB.Si-12.16;60;20161130;000000;65.331.0000000;65.368.0000000;65.276.0000000;65.350.0000000;56.766
SPFB.Si-12.16;60;20161130;110000;65.339.0000000;65.607.0000000;65.192.0000000;65.575.0000000;395.714
SPFB.Si-12.16;60;20161130;120000;65.575.0000000;65.579.0000000;65.075.0000000;65.155.0000000;539.316
SPFB.Si-12.16;60;20161130;130000;65.158.0000000;65.210.0000000;64.932.0000000;65.065.0000000;443.684
SPFB.Si-12.16;60;20161130;140000;65.064.0000000;65.188.0000000;64.724.0000000;64.818.0000000;612.060
SPFB.Si-12.16;60;20161130;150000;64.809.0000000;64.813.0000000;64.231.0000000;64.285.0000000;669.627
SPFB.Si-12.16;60;20161130;160000;64.286.0000000;64.573.0000000;64.175.0000000;64.396.0000000;529.073
SPFB.Si-12.16;60;20161130;170000;64.393.0000000;64.630.0000000;64.333.0000000;64.397.0000000;399.494
SPFB.Si-12.16;60;20161130;180000;64.397.0000000;64.816.0000000;64.370.0000000;64.667.0000000;409.626
SPFB.Si-12.16;60;20161130;190000;64.664.0000000;64.742.0000000;64.506.0000000;64.647.0000000;195.279
SPFB.Si-12.16;60;20161130;200000;64.650.0000000;64.853.0000000;64.342.0000000;64.387.0000000;356.427
SPFB.Si-12.16;60;20161130;210000;64.387.0000000;64.516.0000000;64.292.0000000;64.297.0000000;113.027
SPFB.Si-12.16;60;20161130;220000;64.295.0000000;64.345.0000000;64.223.0000000;64.238.0000000;59.365
SPFB.Si-12.16;60;20161130;230000;64.239.0000000;64.376.0000000;64.222.0000000;64.358.0000000;80.015
SPFB.Si-12.16;60;20161201;000000;64.359.0000000;64.365.0000000;64.322.0000000;64.343.0000000;28.174
